Date;Time;Prize;Wallet
2023-09-07;02:00;Free Deku Mint  ;
2023-09-07;14:00;Free Deku Mint  ;
2023-09-07;20:00;Malbox;
2023-09-08;02:00;Genesis Moon Ape;
2023-09-08;14:00;Deku Mint WL Discount ;
2023-09-08;20:00;Free Deku Mint  ;
2023-09-09;02:00;Free Deku Mint  ;
2023-09-09;14:00;Genesis Moon Ape;
2023-09-09;20:00;Deku Mint WL Discount ;
2023-09-10;02:00;Free Deku Mint  ;
2023-09-10;14:00;Genesis Moon Ape;
2023-09-10;20:00;Free Deku Mint  ;
2023-09-11;02:00;Free Deku Mint  ;
2023-09-11;14:00;Free Deku Mint  ;
2023-09-11;20:00;Free Deku Mint  ;
2023-09-12;02:00;10 $MAD;
2023-09-12;14:00;Malbox;
2023-09-12;20:00;Free Deku Mint  ;
2023-09-13;02:00;Deku Mint WL Discount ;
2023-09-13;14:00;Free Deku Mint  ;
2023-09-13;20:00;Free Deku Mint  ;
2023-09-14;02:00;Deku Mint WL Discount ;
2023-09-14;14:00;Free Deku Mint  ;
2023-09-14;20:00;Malbox;
2023-09-15;02:00;Deku Mint WL Discount ;
2023-09-15;14:00;Avatar Upgrades;
2023-09-15;20:00;Free Deku Mint  ;
2023-09-16;02:00;Free Deku Mint  ;
2023-09-16;14:00;Deku Mint WL Discount ;
2023-09-16;20:00;Free Deku Mint  ;
2023-09-17;02:00;Genesis Moon Ape;
2023-09-17;14:00;Free Deku Mint  ;
2023-09-17;20:00;Malbox;
2023-09-18;02:00;Deku Mint WL Discount ;
2023-09-18;14:00;Avatar Upgrades;
2023-09-18;20:00;Deku Mint WL Discount ;
2023-09-19;02:00;Free Deku Mint  ;
2023-09-19;14:00;Deku Mint WL Discount ;
2023-09-19;20:00;Genesis Moon Ape;
2023-09-20;02:00;Free Deku Mint  ;
2023-09-20;14:00;Malbox;
2023-09-20;20:00;Avatar Upgrades;
2023-09-21;02:00;Genesis Moon Ape;
2023-09-21;14:00;Deku Mint WL Discount ;
2023-09-21;20:00;Genesis Moon Ape;
2023-09-22;02:00;Moon Capsule;
2023-09-22;14:00;Malbox;
2023-09-22;20:00;10 $MAD;
2023-09-23;02:00;Malbox;
2023-09-23;14:00;Free Deku Mint  ;
2023-09-23;20:00;Deku Mint WL Discount ;
2023-09-24;02:00;Deku Mint WL Discount ;
2023-09-24;14:00;10 $MAD;
2023-09-24;20:00;Malbox;
2023-09-25;02:00;Deku Mint WL Discount ;
2023-09-25;14:00;Deku Mint WL Discount ;
2023-09-25;20:00;Free Deku Mint  ;
2023-09-26;02:00;Genesis Moon Ape;
2023-09-26;14:00;Deku Mint WL Discount ;
2023-09-26;20:00;Free Deku Mint  ;
2023-09-27;02:00;Free Deku Mint  ;
2023-09-27;14:00;Genesis Moon Ape;
2023-09-27;20:00;10 $MAD;
2023-09-28;02:00;10 $MAD;
2023-09-28;14:00;Free Deku Mint  ;
2023-09-28;20:00;Deku Mint WL Discount ;
2023-09-29;02:00;Malbox;
2023-09-29;14:00;Malbox;
2023-09-29;20:00;Genesis Moon Ape;
2023-09-30;02:00;Free Deku Mint  ;
2023-09-30;14:00;Deku Mint WL Discount ;
2023-09-30;20:00;Malbox;
2023-10-01;02:00;Genesis Moon Ape;
2023-10-01;14:00;Deku Mint WL Discount ;
2023-10-01;20:00;Deku 1/1;
2023-10-02;02:00;Malbox;
2023-10-02;14:00;10 $MAD;
2023-10-02;20:00;Free Deku Mint  ;
2023-10-03;02:00;Free Deku Mint  ;
2023-10-03;14:00;Deku Mint WL Discount ;
2023-10-03;20:00;Free Deku Mint  ;
2023-10-04;02:00;Free Deku Mint  ;
2023-10-04;14:00;Deku Mint WL Discount ;
2023-10-04;20:00;Free Deku Mint  ;
2023-10-05;02:00;Genesis Moon Ape;
2023-10-05;14:00;Free Deku Mint  ;
2023-10-05;20:00;Free Deku Mint  ;
2023-10-06;02:00;Free Deku Mint  ;
2023-10-06;14:00;Deku Mint WL Discount ;
2023-10-06;20:00;Deku Mint WL Discount ;
2023-10-07;02:00;Free Deku Mint  ;
2023-10-07;14:00;Free Deku Mint  ;
2023-10-07;20:00;Genesis Moon Ape;
2023-10-08;02:00;Free Deku Mint  ;
2023-10-08;14:00;Deku Mint WL Discount ;
2023-10-08;20:00;Genesis 1/1;
2023-10-09;02:00;Free Deku Mint  ;
2023-10-09;14:00;Malbox;
2023-10-09;20:00;Avatar Upgrades;
2023-10-10;02:00;Free Deku Mint  ;
2023-10-10;14:00;10 $MAD;
